account_id,username,bio,followers,posts,verified
76750134676,101dietsandcounting,"Practical diet guides made simple! Meal plans, food science, healing foods. 101 Diets & Counting - from therapeutic to educational to historical.",106,864,False
63945065425,3hcorporation,3H Corporation specializes in providing bulk food container solutions at competitive prices to help businesses efficiently package and store products.,31,75,False
78061221105,7a_nutrition_nadiad,"🛒ALL TOP BRANDS BODYBUILDING SUPPLEMENTS 💪🥤
100% AUTHENTIC PRODUCTS GUARANTEE. 
WHOLESALE | RETAILER 
💬 DM FOR ORDARS & EXCLUSIVE  DEAL
9033085377",650,105,False
6944445351,_music_mamey,"music lover
sport car racing 
Thala da",2,7,False
77167672762,_thefitrunner,"🏃🏾‍♀️I help runners run stronger, beat PBs, prevent injuries & fuel smarter. 
📧 DM ""RUN"" to learn about coaching
👇🏾 Book a FREE consultation",713,135,True
12065792674,_thepinkgirl._,"- Natural Solution for all your Skin & Hair Care
- Awarded as Best Natural Product By AP Governor
- Experiences in Ayurveda
(wishlink.com/herbalandco)",24479,1723,False
77022139763,a1bodycrafts,💪 24 yrs EXP | CrossFit 🏋️  | Boxing 🥊 | Zumba 💃 | Yoga 🧘 |   Strength & Conditioning | Vajarahalli’s fitness hub,44,57,False
77347724197,aarnifoods,"✨ AARNI FOODS
🌿 Pure Veg Restaurant
🥙 Fresh Rotis • Veg Thali• Aloo Paratha. Veg Biryani
📍 Hanamkonda
📞 +91 9390989495
🛵 On Swiggy & Zomato",374,22,False
4261169893,abel_sport666,"😎CUENTA PERSONAL @abelrobertosport
❤️FOLLOW YOUR DREAMS 💪😎🌎
🏋🏻‍♂️FANPAGEABELSPORT666💪😎📱
🔔 YOUTUBE ABELSPORT666 💪😎🎥",0,0,False
49707487695,abishek_spams,"Gym 🏋️‍♀️ 
 
Fitness 💪 ❤️",216,48,False
43864630504,activeminds.uk,"Wellbeing service that specialises in supporting people with mental health & neurodiverse conditions.
We provide a safe community gym for everyone 💙",323,291,False
34197466454,adaily.factory,"เนยอัลมอนด์ เนยถั่ว by Adaily Factory 
🌰Premium Almond,Cashew nut,Peanut Butter 
👉🏻No Sugar, No oil added
🛒Order via Line : @adaily.factory",54862,1311,False
374511646,aestheticabhi.official,"Life is good .
Ajit classic 2025 🥈
Mr.chd 2k25 🥈 
Mr pkl 2k25 🥈
Men’s physique 
Collab 📩:teamabhi1997@gmail.com
👻:abhishek2051",90353,2721,False
54185452949,ajay_gym_777,"Gym ❤️‍🩹💪
Up📍
जय बजरंग बली 🙏🏻",136,12,False
210580427,alexacise,"Find your ‘RIGHT FIT’
2025 Consumer Choice Award
2023, 2024 QUALITY BUSINESS 
2024/2019 Canadian Trainer of year 
16x Barrie’s  Favourite",3527,2504,False
80535561253,aligned.performance.co,"Working with roster, FIFO and busy Australians build strength, lose weight or bulk to meet their goals. Online coaching available. DM “CALL” to book.",50,30,False
1397568745,aman.thakur.01,"'धैर्यं सर्वत्र साधनम्' 💪
सनातन धर्म 🕉️
Delhi📍
Teacher @vmc_learning 
Engineer/Athlete
✍️ @black_inkpoet 
Believe❤
ॐ नमः पार्वती पतये, हर-हर महादेव",1338,787,False
80403603341,aminodock.in,We’re rewriting the rules. Stay tuned.,0,6,False
74690700092,ampxrainbow2,Level 33🌻 step mom to 3 amazing girls 👧🏼 👩🏻‍🦰👱🏻‍♀️dog mom 🐶🐶 Jesus freak ✝️ Happily taken by Teddy 05/12/2021 🔒,26,33,False
72833596083,an_mali90,"💖 Anja | Mama von 2 Mädels 
🌱 Gesundheit & Alltag leicht gemacht
✨ Echt statt perfekt
🍏Natürliche Supplements",1330,269,False
77091638991,anabolic.talks,"Helping Overweight Men Get Ripped in 90 Days🔥
Fitness Coach | 5+ Years 🧬
93kg → STATE CHAMP🏆
Managed by - @creafy.in 
Coaching ↓ | Collabs 📩",2513,253,False
80051065251,and.reasgr45,"🏡Wohne in Deutschland
 Abnehmen, Motivieren, Gesunde Ernährung, Home Workouts, ein gutes Lebensgefühl haben.😊
Das sind die Ziele.💪",43,71,False
61603113435,angiesfoodconcepts,"Your Everything Fast Food Restaurant, with a mission to make luxury foods affordable to everyone! 👊",41438,544,False
2035551479,anguswang_tw,"💆美式運動按摩Sport therapist
🔪筋膜刀 📏刮痧放鬆 🔫活化槍
🆘體態評估與矯正 ✊軟組織鬆動術
🦴美式整復調理Chiropractic
🏋🏻RTS 國際認證 🛟肌內效
🧖SPA油壓🫙定滑罐.軟硬拔罐
♍️0️⃣9️⃣1️⃣7️⃣
📩Collaboration Invitation私訊",62568,639,False
8342696661,ankit_chhillar_hr13_,"Sports science👨🏻‍🎓
@brl_sports_athletes 🏃‍♂️ 
Cert. @vdot_o2 🇺🇸 | pre level -1  IAAF 📈
@one.science.nutrition.in altitude expert |s&c 🇬🇧",97478,2697,False
1265409278,annafelz,"Burnt out → free ✨
Hydrogen water changed my health 💧
The business changed my life 💰
Helping women create health, income & freedom
👇 How it works",3964,1780,True
31094590041,anne_bewegt,buggyFit Dresden ❤️ Sport für Mamis und Schwangere ❤️Beckenboden-Workout ❤️ SUPMarine Dresden ⚓️ Powerkurse 💪❤️ Personal Training & Massage,1455,369,False
55569837626,anushka_the_health_coach,"Diet,yoga, counselling,
 nutrition influencer🍃
Reader🧜🏻‍♀️
Manasa•vacha•karamana",886,49,False
2060439624,anytimefitnesswales,"The best 24/7 fitness experience: 
💜Small Group Training💜
📊Body comp tracker
📋Monthly Success Tracking 
☀️Tanning",368,3440,False
78255975974,aravindsamy_fitnessvlog,"💪 Fat to Fit (100-87 Kg) 📈
🥗 Mindset • Diet • Workout 🏋🏻‍♂️
🎯 No Excuses ↔️ Only Results 🔥
📖 Follow For Weight Loss Guide 💯",3719,64,False
45063752990,ari.akensington,"Dubai ✨  
Lifestyle • Beauty • Travel  
slow mornings & good coffee",7,2,False
