video_id,collected_at,views,likes,comment_count
ooz6baMk5cw,2026-03-16 12:56:49,25173,63,1
yZ-f1umHvaQ,2026-03-16 12:56:49,13890,68,2
zf3Jd23p-WM,2026-03-16 12:56:49,16317,36,2
tobIPb75AVU,2026-03-16 12:56:49,19206,59,0
0F5Gx77nRao,2026-03-16 12:56:49,38823,114,0
a-b0NPmSXFo,2026-03-16 12:56:49,19641,63,2
_PJdrA9vEPk,2026-03-16 12:56:49,17650,66,1
6JPbaicvFbE,2026-03-16 12:56:49,4316,40,1
y5AoBacsCiQ,2026-03-16 12:56:49,18238,72,2
QtvBFeJUUI4,2026-03-16 12:56:49,7037,72,1
3c1JKTVk3-0,2026-03-16 12:56:49,4102,21,3
e9D14R0iYcI,2026-03-16 12:56:49,6945,40,1
C9in8ccPx-c,2026-03-16 12:56:49,8039,30,1
ViUBcPyyhO8,2026-03-16 12:56:49,14152,82,1
0hiibknC-Zg,2026-03-16 12:56:49,12378,45,0
JkxIpLo8B_4,2026-03-16 12:56:49,7759,36,1
RR4Me3Hf4X8,2026-03-16 12:56:49,4953,19,0
gYDZrbGM_cI,2026-03-16 12:56:49,11501,44,0
Qlix37E3P1M,2026-03-16 12:56:49,12116,38,0
81ved4XCWgc,2026-03-16 12:56:49,24797,125,4
QSWMO7ltXHg,2026-03-16 12:56:49,11277,25,2
E281XSH74h4,2026-03-16 12:56:49,24935,71,1
U-Scoh3e6wk,2026-03-16 12:56:49,10276,33,0
MYF7KOhiJ9Y,2026-03-16 12:56:49,22705,38,0
iYmk-Iq8I8U,2026-03-16 12:56:49,45968,70,2
QjCsSvlIP5Y,2026-03-16 12:56:49,15559,62,0
1Aj__wMC55w,2026-03-16 12:56:49,26375,60,0
BAqMZbr4Yr4,2026-03-16 12:56:49,20659,26,1
PfbqfYTMlKo,2026-03-16 12:56:49,8229,31,0
iqS2AQj1qSE,2026-03-16 12:56:49,22429,77,3
yiIWdGUg5DY,2026-03-16 12:56:49,135648,4626,63
u_9w_vlH8ec,2026-03-16 12:56:49,151168,5081,56
tlJzOjMoLOQ,2026-03-16 12:56:49,182344,8718,23
qj-plTbPEM0,2026-03-16 12:56:49,277990,11776,54
H493rFy329w,2026-03-16 12:56:49,174032,7410,14
177TBY1jmWE,2026-03-16 12:56:49,94974,4070,13
NEUHrQv8490,2026-03-16 12:56:49,138003,3931,25
zBr7YerLvr4,2026-03-16 12:56:49,81733,3090,15
izDHDgjCSFk,2026-03-16 12:56:49,45151,2261,18
l9qJEYsjCR0,2026-03-16 12:56:49,96459,5313,14
