video_id,collected_at,views,likes,comment_count
X_53MoJWCYo,2026-03-27T14:48:48.963908,34683,1139,49
lrVPioEiQ0k,2026-03-27T14:48:48.963908,50638,1882,89
zjt1RbrC3eQ,2026-03-27T14:48:48.963908,8304,228,17
iPKb6QlpjbM,2026-03-27T14:48:48.963908,12722,453,13
PU3KXtm3n6Q,2026-03-27T14:48:48.963908,43558,2130,61
UOL-tS6a7uI,2026-03-27T14:48:48.963908,26434,752,30
GQ2gZfhzVPE,2026-03-27T14:48:48.963908,63485,3458,60
vnt1_ivtf18,2026-03-27T14:48:48.963908,36591,2063,92
owYkvCgsiac,2026-03-27T14:48:48.963908,57951,1718,43
JhI0QWv1WpQ,2026-03-27T14:48:48.963908,27822,793,23
bCVTkKC4qrI,2026-03-27T14:48:48.963908,62047,2488,54
8prTgiees5g,2026-03-27T14:48:48.963908,25124,795,17
yCgijLaD_hY,2026-03-27T14:48:48.963908,11935,422,16
hMJlzJ5yC24,2026-03-27T14:48:48.963908,20331,686,13
KoTnLWssB9Y,2026-03-27T14:48:48.963908,26985,732,17
b4G8hwwpdRg,2026-03-27T14:48:48.963908,27518,681,26
XZSzRzovDqc,2026-03-27T14:48:48.963908,94289,2189,52
cgo2iH96LPw,2026-03-27T14:48:48.963908,59338,1894,25
66j2nBLsJRg,2026-03-27T14:48:48.963908,56928,2449,110
IFVhRGz2CwU,2026-03-27T14:48:48.963908,18501,553,12
fvCTIfGdOes,2026-03-27T14:48:48.963908,42193,1887,51
QF0gld3kYlI,2026-03-27T14:48:48.963908,35306,1657,50
uQQ6TnvVHb8,2026-03-27T14:48:48.963908,17886,597,23
FEX9PT8o3Qs,2026-03-27T14:48:48.963908,12608,419,20
QRkU4nC7FFw,2026-03-27T14:48:48.963908,51250,1725,35
0kj3ZnauHRg,2026-03-27T14:48:48.963908,72763,2392,52
7u0Wo2P2vPo,2026-03-27T14:48:48.963908,27967,497,34
HC1en8hZmlI,2026-03-27T14:48:48.963908,65948,2276,64
YH4IhcXzHLE,2026-03-27T14:48:48.963908,33690,678,27
4po75vkIa5c,2026-03-27T14:48:48.963908,17753,1277,103
XdZ6vJ63lsQ,2026-03-27T14:48:48.963908,166,9,0
HCFjp1SkG3w,2026-03-27T14:48:48.963908,1758,87,13
lkVj7eOmdW0,2026-03-27T14:48:48.963908,1863,113,3
vWhTuDXD2fE,2026-03-27T14:48:48.963908,1699,107,15
FxACv56SCxk,2026-03-27T14:48:48.963908,7520,193,4
1Hmk3IvzXrI,2026-03-27T14:48:48.963908,5058,86,1
GNk-s1jKrqc,2026-03-27T14:48:48.963908,17455,566,26
XP-NQiZpfac,2026-03-27T14:48:48.963908,2424,152,12
08KsBbQrHuY,2026-03-27T14:48:48.963908,26104,530,3
SiC0aimtlL8,2026-03-27T14:48:48.963908,55465,2276,32
D1ngxp6rmTc,2026-03-27T14:48:48.963908,17917,416,4
BEV9XkJwLj0,2026-03-27T14:48:48.963908,600722,5579,48
fxk6rn-x4WQ,2026-03-27T14:48:48.963908,11858,289,11
ln2w1FmSS-w,2026-03-27T14:48:48.963908,112988,2737,25
9XmRggzHt1U,2026-03-27T14:48:48.963908,2909,169,11
Aecz3j3yp9Y,2026-03-27T14:48:48.963908,29300,854,7
BuchMpnpdEY,2026-03-27T14:48:48.963908,158867,3221,58
hvMTKPVC_30,2026-03-27T14:48:48.963908,31872,844,24
Qy7WwXE1ayw,2026-03-27T14:48:48.963908,3377,173,21
YgFgOLKl5Pk,2026-03-27T14:48:48.963908,15202,293,4
yMLpxtakYPQ,2026-03-27T14:48:48.963908,11262,239,3
g3Q2nNaURik,2026-03-27T14:48:48.963908,6271,295,26
PTQLIrr1SMs,2026-03-27T14:48:48.963908,19626,345,8
tB9hDWOiLPM,2026-03-27T14:48:48.963908,14248,239,5
3kKtxH5UVD0,2026-03-27T14:48:48.963908,3541,172,21
UpY6Hz13T4Y,2026-03-27T14:48:48.963908,4216,210,32
m6T1hJnKYUY,2026-03-27T14:48:48.963908,14720,361,5
BV-XA7R0S7g,2026-03-27T14:48:48.963908,6351,298,37
fGXH2oemrWE,2026-03-27T14:48:48.963908,38547,1047,22
ZXbmUuwV6sw,2026-03-27T14:48:48.963908,38859,909,7
vO9sTn_Zul4,2026-03-27T14:48:48.963908,1002,19,0
96OoI7Yt-tg,2026-03-27T14:48:48.963908,2165,48,0
cnvKgYdX80A,2026-03-27T14:48:48.963908,1742,54,3
AAolDznfbcA,2026-03-27T14:48:48.963908,17458,419,1
YyQ9OW_LNwM,2026-03-27T14:48:48.963908,1705,46,0
LpqVWtKTsvw,2026-03-27T14:48:48.963908,1592,23,0
wrGZgv29Rpk,2026-03-27T14:48:48.963908,3030,58,0
ShgS8FOR85g,2026-03-27T14:48:48.963908,12049,460,0
u8EofDsTW1M,2026-03-27T14:48:48.963908,6178,205,4
wXxhQ6c3HQs,2026-03-27T14:48:48.963908,28267,695,2
eAJbAAw5ONc,2026-03-27T14:48:48.963908,13401,393,2
GDFjWqiSRu4,2026-03-27T14:48:48.963908,3052,53,1
xPjUnYwpPFE,2026-03-27T14:48:48.963908,3290,74,1
xE9n4gQuY98,2026-03-27T14:48:48.963908,6630,157,0
l8RC4WECFbk,2026-03-27T14:48:48.963908,4690,73,0
RIPWRtgF1AY,2026-03-27T14:48:48.963908,3778,29,0
z60GV0JiSUA,2026-03-27T14:48:48.963908,2901,19,0
obfO77TOKyg,2026-03-27T14:48:48.963908,6846,240,3
g0xQTz7VrsQ,2026-03-27T14:48:48.963908,2977,27,1
NNkwmsXihIU,2026-03-27T14:48:48.963908,2369,16,0
YCal9B7ZNa8,2026-03-27T14:48:48.963908,9893,201,1
jpWKKlX55lM,2026-03-27T14:48:48.963908,8835,289,0
NYAUL5ISlU8,2026-03-27T14:48:48.963908,16445,563,0
QabQWgboY98,2026-03-27T14:48:48.963908,2396,24,0
9UJ7cUQkTbQ,2026-03-27T14:48:48.963908,3091,29,2
vDDsN6j9zoE,2026-03-27T14:48:48.963908,11155,258,1
0-3DwjLCGGk,2026-03-27T14:48:48.963908,42892,958,3
fvlFCEpBNrM,2026-03-27T14:48:48.963908,608,24,0
A2vRsykG3a4,2026-03-27T14:48:48.963908,13617,407,0
Xrtygs7iX1g,2026-03-27T14:48:48.963908,13998,362,3
tKp0kF6KhMU,2026-03-27T14:48:48.963908,658,65,16
IICgyzm6Hhs,2026-03-27T14:48:48.963908,1864,110,12
z6EZDt9Wx7o,2026-03-27T14:48:48.963908,6131,294,30
AyLmMamveio,2026-03-27T14:48:48.963908,8576,406,43
mJ2JhEzwThQ,2026-03-27T14:48:48.963908,3455,224,25
oF0l8sgg2lU,2026-03-27T14:48:48.963908,6482,280,41
SOA1RQPY2_8,2026-03-27T14:48:48.963908,1086,79,19
WYHWF8-2UAI,2026-03-27T14:48:48.963908,1647,114,32
1oETVYO4d_M,2026-03-27T14:48:48.963908,1506,117,19
QkyHav1Ebjw,2026-03-27T14:48:48.963908,4358,268,25
4PXlvRKeQGg,2026-03-27T14:48:48.963908,21180,606,60
UULOiLSpYJE,2026-03-27T14:48:48.963908,4683,273,21
8oy_wl15BKI,2026-03-27T14:48:48.963908,3472,192,21
9Uv4i___whA,2026-03-27T14:48:48.963908,6925,382,59
4jv4gVtwzEA,2026-03-27T14:48:48.963908,33717,1007,68
8aNtS_F1hcQ,2026-03-27T14:48:48.963908,4110,205,17
-4k6t4aYrmk,2026-03-27T14:48:48.963908,10562,402,62
1k320lywTns,2026-03-27T14:48:48.963908,2755,164,29
oRo2_RWzbzQ,2026-03-27T14:48:48.963908,2660,171,8
DWiHW9gSSj8,2026-03-27T14:48:48.963908,210,2,1
u_b93ubs_UA,2026-03-27T14:48:48.963908,92,1,0
gobIXVimIZs,2026-03-27T14:48:48.963908,236,4,2
w3Q_ZgA7neQ,2026-03-27T14:48:48.963908,88,5,1
iKaoYKojhWw,2026-03-27T14:48:48.963908,90,9,2
CB-41oo4suE,2026-03-27T14:48:48.963908,305,11,1
E-v4V5bMUeA,2026-03-27T14:48:48.963908,229,3,0
J5ChlPupfno,2026-03-27T14:48:48.963908,495,9,0
ga6UOkaYvrI,2026-03-27T14:48:48.963908,459,13,1
skLkqBFpiNQ,2026-03-27T14:48:48.963908,390,5,0
Z9qIS5uXXKo,2026-03-27T14:48:48.963908,279,6,0
Z2WVqElsSVk,2026-03-27T14:48:48.963908,97,5,1
nyZgAF0kAtE,2026-03-27T14:48:48.963908,335,6,1
JJHmRYjOyZE,2026-03-27T14:48:48.963908,872,31,4
UJP0JQSD0eY,2026-03-27T14:48:48.963908,167,7,3
H4NOAaFHHto,2026-03-27T14:48:48.963908,227,9,1
D8p7U6jybis,2026-03-27T14:48:48.963908,226,6,2
c9Lz966kzyU,2026-03-27T14:48:48.963908,2415,57,7
o0bwLi5jF_0,2026-03-27T14:48:48.963908,499,5,1
bCRz1nLbhLw,2026-03-27T14:48:48.963908,3285,199,8
l4bpOSWhXQ8,2026-03-27T14:48:48.963908,1566,63,1
tiJbmejXMng,2026-03-27T14:48:48.963908,3352,94,30
ajQ3AjKarAw,2026-03-27T14:48:48.963908,6566,519,29
LJfiRfqrEw0,2026-03-27T14:48:48.963908,1461,70,8
-qq_7bBrJwk,2026-03-27T14:48:48.963908,4122,280,22
7DT0vMMU26g,2026-03-27T14:48:48.963908,4511,259,17
EsQothn8jFE,2026-03-27T14:48:48.963908,5399,302,12
DZ_s3e4heL4,2026-03-27T14:48:48.963908,5474,289,15
PapGwed75bc,2026-03-27T14:48:48.963908,4084,331,38
WhTQNRmX6dM,2026-03-27T14:48:48.963908,3500,240,34
bQVolVkpp20,2026-03-27T14:48:48.963908,19219,743,30
KRUbPLgdxD4,2026-03-27T14:48:48.963908,2291,165,4
DCn_LzSXR_Q,2026-03-27T14:48:48.963908,9456,409,39
j2rAuP8gJm8,2026-03-27T14:48:48.963908,4397,252,13
0LcacHKXW4I,2026-03-27T14:48:48.963908,2143,75,4
f2wiB69ZDh4,2026-03-27T14:48:48.963908,2514,185,18
MNeEIZ6KbTg,2026-03-27T14:48:48.963908,3671,105,3
2P-Lkkt1Dco,2026-03-27T14:48:48.963908,1477,59,0
sWMdZEHhxSY,2026-03-27T14:48:48.963908,15288,263,3
gUEyppufUe4,2026-03-27T14:48:48.963908,5022,293,22
SBGv2O0BXqc,2026-03-27T14:48:48.963908,3570,216,32
Yoqy9RUx6nM,2026-03-27T14:48:48.963908,4482,101,7
gatByrKzYqg,2026-03-27T14:48:48.963908,10041,408,15
ov1UsmrjluM,2026-03-27T14:48:48.963908,16557,1021,29
Pl9iv10Pbr4,2026-03-27T14:48:48.963908,3503,144,6
DYofP0aLr88,2026-03-27T14:48:48.963908,4695,307,10
zPnuOlrBwWU,2026-03-27T14:48:48.963908,5617,310,19
eozNbyJC8bc,2026-03-27T14:48:48.963908,30512,1201,92
Gnid1I0MAJs,2026-03-27T14:48:48.963908,2225,129,28
h9S-XrAIDfk,2026-03-27T14:48:48.963908,1034,19,0
zbsEY6q94A0,2026-03-27T14:48:48.963908,204,1,0
FX8O4UpZYys,2026-03-27T14:48:48.963908,566,6,0
GJOx666zkWw,2026-03-27T14:48:48.963908,6806,222,3
